id,symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,patterns,strategies
1,BTC-USDT,long,2025-01-19 05:00:00,104517.73,2025-01-19 06:45:00,105538.34,8.56,0.86,tp_hit,doji|hammer|three_white_soldiers|hanging_man|dragonfly_doji|double_top|double_bottom|ascending_triangle,old
2,BTC-USDT,short,2025-01-24 02:00:00,103193.88,2025-01-24 03:30:00,103965.68,-8.69,-0.87,sl_hit,three_black_crows|double_bottom|inverse_head_shoulders|descending_triangle|falling_wedge,old
3,BTC-USDT,long,2025-03-14 14:00:00,83049.90,2025-03-14 15:00:00,83756.59,7.30,0.73,trailing_sl,doji|hammer|harami|hanging_man|dragonfly_doji|ascending_triangle|descending_triangle|symmetric_triangle|cup_and_handle|rising_wedge,old
4,BTC-USDT,short,2025-03-31 23:00:00,82525.32,2025-04-01 02:15:00,83015.28,-7.15,-0.71,sl_hit,engulfing|tweezer_bottom|double_top|double_bottom|ascending_triangle,old
5,BTC-USDT,short,2025-06-19 14:15:00,104567.09,2025-06-19 16:45:00,104115.10,3.13,0.31,tp_hit,shooting_star|three_black_crows|double_top|double_bottom|ascending_triangle|descending_triangle|symmetric_triangle,old
6,BTC-USDT,short,2025-07-19 08:15:00,118032.65,2025-07-19 09:30:00,118315.24,-3.60,-0.36,sl_hit,three_black_crows|spinning_top|double_top|double_bottom|descending_triangle,old
7,BTC-USDT,short,2025-08-03 11:15:00,113948.00,2025-08-03 14:15:00,113880.37,-0.61,-0.06,trailing_sl,doji|shooting_star|inverted_hammer|gravestone_doji|double_top|double_bottom|falling_wedge,old
8,BTC-USDT,long,2025-09-05 20:15:00,111430.59,2025-09-05 21:15:00,110848.21,-6.42,-0.64,sl_hit,doji|hammer|three_white_soldiers|hanging_man|dragonfly_doji|double_top|double_bottom|rising_wedge,old
9,BTC-USDT,long,2025-09-20 02:15:00,115614.58,2025-09-20 04:30:00,115365.57,-3.35,-0.34,sl_hit,doji|hammer|hanging_man|dragonfly_doji|double_top|double_bottom|descending_triangle,old
10,BTC-USDT,long,2025-10-01 20:15:00,117454.10,2025-10-01 23:15:00,118219.34,5.31,0.53,tp_hit,hammer|three_white_soldiers|hanging_man|ascending_triangle|rising_wedge,old
